peer reputation
0x0730 38.7
0x25c1 0.0
0x2eb3 124.1
0x2eea 0.0
0x338f 112.2
0x48f5 82.2
0x5f9b 34.1
0x61d3 0.0
0x68b1 84.2
0x7bf5 83.3
0x7ce1 0.0
0x9347 33.1
0xa1e4 44.1
0xb752 38.2
0xf43a 1.1
0xfcb6 1.3
